message_id,response_id,rating,,
dtmup0t,dtmux7q,0,,
dtmup0t,dtmw1df,2,,
dtmup0t,dtmwicp  ,-1,,
dtmup0t,dtmwig1 ,0,,
dtmup0t,dtmwm39 ,1,,
dtmup0t,dtmwo35 ,1,,
dtmup0t,dtmwq3b ,0,,
dtmup0t,dtmwslh ,-1,,
dtmup0t,dtmwwl8 ,0,,
dtmup0t,dtmx07e ,1,,
dtmup0t,dtmx2j4 ,0,,
dtmup0t,dtmxb0i ,1,,
dtmup0t,dtmxbqo,1,,
dtmup0t,dtmxbsq,0,,
dtmup0t,dtmxfe9 ,1,,
dtmup0t,dtmxgze ,1,,
dtmup0t,dtmxhd9,0,,
dtmup0t,dtmxonr ,-2,,
dtmup0t,dtmxsjs ,-1,,
dtmup0t,dtmxsld ,1,,
dtmup0t,dtmxwm9 ,1,,
dtmup0t,dtmy4k6 ,1,,
dtmup0t,dtmyoik ,1,,
dtmup0t,dtmz77c ,0,,
dtmup0t,dtmz7i6 ,0,,
dtmup0t,dtmzbp2 ,0,,
dtmup0t,dtn049b ,1,,
dtmup0t,dtn0hrx ,0,,
dtmup0t,dtn0xmi ,0,,
dtmup0t,dtn13ih ,0,,
dtmup0t,dtn1bsb ,1,,
dtmup0t,dtn1f9u ,1,,
dtmup0t,dtn2t1y ,0,,
dtmup0t,dtn34ny,0,,
dtmup0t,dtn3u95 ,0,,
dtmup0t,dtn3zm8 ,1,,
dtmup0t,dtn4wox ,1,,
dtmup0t,dtn50vx ,0,,
dtmup0t,dtn5kw5 ,0,,
dtmup0t,dtn5p9b ,0,,
dtmup0t,dtn5y6o ,0,,
dtmup0t,dtn6n3t ,1,,
dtmup0t,dtn6p4c ,0,,
dtmup0t,dtn6to9 ,1,,
dtmup0t,dtn6zd9 ,1,,
dtmup0t,dtn715e,1,,
dtmup0t,dtn72rh ,1,,
dtmup0t,dtn76ma ,1,,
dtmup0t,dtn792y ,1,,
dtmup0t,dtn88ya ,0,,
dtke8yk,dtkemao ,1,,
dtke8yk,dtki3xg ,2,,
dtke8yk,dtkichv ,0,,
dtke8yk,dtkkisx ,-1,,
dtke8yk,dtkkkib ,0,,
dtke8yk,dtklcvb ,1,,
dtke8yk,dtkljv1 ,1,,
dtke8yk,dtklkv2 ,1,,
dtke8yk,dtkm6kj ,0,,
dtke8yk,dtkmb7p ,0,,
dtke8yk,dtkmgdx ,2,,
dtke8yk,dtkmqxh ,2,,
dtke8yk,dtkn163 ,1,,
dtke8yk,dtkn18o ,1,,
dtke8yk,dtknpt5 ,1,,
dtke8yk,dtknq38 ,1,,
dtke8yk,dtknvmo ,1,,
